loss	train_acc	test_acc
2.000005	0.207143	0.139000
1.937894	0.414286	0.413000
1.661869	0.421429	0.427000
1.550962	0.578571	0.546000
1.461222	0.700000	0.625000
1.336636	0.750000	0.599000
1.269250	0.771429	0.568000
1.172656	0.771429	0.589000
1.050823	0.792857	0.606000
1.047781	0.878571	0.687000
0.904286	0.857143	0.679000
0.852586	0.835714	0.670000
0.765819	0.885714	0.691000
0.662390	0.892857	0.710000
0.636147	0.928571	0.745000
0.574395	0.935714	0.761000
0.565193	0.957143	0.776000
0.399818	0.971429	0.777000
0.462497	0.971429	0.781000
0.401960	0.978571	0.783000
0.393864	0.978571	0.781000
0.378621	0.985714	0.776000
0.302987	0.985714	0.771000
0.324619	0.992857	0.766000
0.288847	1.000000	0.763000
0.271867	1.000000	0.762000
0.197894	1.000000	0.759000
0.218713	1.000000	0.749000
0.212074	1.000000	0.749000
0.187171	1.000000	0.749000
0.195337	1.000000	0.748000
0.145572	1.000000	0.747000
0.153833	1.000000	0.745000
0.138182	1.000000	0.745000
0.136059	1.000000	0.746000
0.245406	1.000000	0.753000
0.126089	1.000000	0.751000
0.088563	1.000000	0.747000
0.133017	1.000000	0.748000
0.162175	1.000000	0.749000
0.102825	1.000000	0.743000
0.162726	1.000000	0.743000
0.107411	1.000000	0.745000
0.085321	1.000000	0.750000
0.076673	1.000000	0.754000
0.074033	1.000000	0.758000
0.121930	1.000000	0.758000
0.053808	1.000000	0.759000
0.074532	1.000000	0.761000
0.049732	1.000000	0.749000
0.055762	1.000000	0.749000
0.044977	1.000000	0.748000
0.069655	1.000000	0.746000
0.040177	1.000000	0.746000
0.054352	1.000000	0.747000
0.044910	1.000000	0.748000
0.095545	1.000000	0.750000
0.036782	1.000000	0.752000
0.031126	1.000000	0.756000
0.045205	1.000000	0.754000
0.052338	1.000000	0.752000
0.050011	1.000000	0.750000
0.024643	1.000000	0.753000
0.019048	1.000000	0.756000
0.052836	1.000000	0.755000
0.018511	1.000000	0.754000
0.020106	1.000000	0.751000
