loss	train_acc	test_acc
1.976642	0.292857	0.199000
1.803175	0.400000	0.425000
1.664263	0.464286	0.475000
1.547865	0.635714	0.561000
1.446268	0.700000	0.609000
1.362417	0.750000	0.627000
1.279754	0.764286	0.633000
1.202418	0.785714	0.654000
1.131323	0.792857	0.664000
1.067347	0.807143	0.676000
1.009601	0.807143	0.701000
0.954949	0.800000	0.715000
0.903992	0.807143	0.723000
0.856845	0.807143	0.724000
0.813269	0.821429	0.722000
0.773084	0.828571	0.712000
0.736774	0.835714	0.707000
0.702790	0.835714	0.708000
0.671415	0.835714	0.709000
0.642959	0.835714	0.706000
0.617008	0.842857	0.704000
0.592519	0.842857	0.705000
0.569280	0.850000	0.705000
0.547428	0.857143	0.705000
0.526844	0.857143	0.701000
0.507635	0.857143	0.702000
0.489756	0.857143	0.702000
0.473164	0.857143	0.700000
0.457758	0.857143	0.700000
0.443601	0.857143	0.697000
0.430898	0.857143	0.701000
0.419263	0.857143	0.700000
0.408596	0.857143	0.699000
0.398702	0.857143	0.700000
0.389492	0.857143	0.700000
0.381060	0.857143	0.699000
0.373376	0.857143	0.699000
0.366290	0.857143	0.700000
0.359765	0.857143	0.697000
0.353795	0.857143	0.695000
0.348270	0.857143	0.691000
0.343155	0.857143	0.688000
0.338420	0.857143	0.684000
0.334071	0.857143	0.682000
0.330111	0.857143	0.682000
0.326483	0.857143	0.682000
0.323110	0.857143	0.682000
0.319984	0.857143	0.683000
0.317092	0.857143	0.682000
0.314410	0.857143	0.683000
0.311984	0.857143	0.683000
0.309750	0.857143	0.684000
0.307681	0.857143	0.684000
0.305778	0.857143	0.683000
0.304052	0.857143	0.683000
0.302516	0.857143	0.685000
0.301103	0.857143	0.683000
0.299790	0.857143	0.682000
0.298571	0.857143	0.681000
0.297444	0.857143	0.679000
0.296408	0.857143	0.679000
0.295449	0.857143	0.679000
0.294562	0.857143	0.677000
0.293768	0.857143	0.676000
0.293011	0.857143	0.676000
0.292296	0.857143	0.673000
0.291669	0.857143	0.673000
0.291044	0.857143	0.674000
0.290485	0.857143	0.674000
0.289957	0.857143	0.672000
0.289493	0.857143	0.671000
0.289035	0.857143	0.672000
0.288608	0.857143	0.671000
0.288210	0.857143	0.671000
0.287840	0.857143	0.671000
0.287493	0.857143	0.671000
0.287168	0.857143	0.671000
0.286857	0.857143	0.671000
0.286564	0.857143	0.671000
0.286288	0.857143	0.671000
0.286030	0.857143	0.671000
0.285790	0.857143	0.673000
0.285552	0.857143	0.673000
0.285333	0.857143	0.673000
0.285124	0.857143	0.673000
0.284925	0.857143	0.673000
0.284735	0.857143	0.673000
0.284576	0.857143	0.671000
0.284386	0.857143	0.671000
0.284225	0.857143	0.670000
0.284071	0.857143	0.670000
0.283924	0.857143	0.670000
0.283782	0.857143	0.670000
0.283658	0.857143	0.670000
0.283523	0.857143	0.670000
0.283394	0.857143	0.670000
0.283281	0.857143	0.670000
0.283160	0.857143	0.670000
0.283049	0.857143	0.670000
